batch_key,venue_id,expected_name,new_name,source_id,source_url,note
rename-michelin-2026-france,ve_55d4d282cc,Hôtel Radio,Radio,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/chamalires/restaurant/radio10778,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5968472196,LE WELCOME,Le Welcome,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/chamalires/restaurant/le-welcome,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_598810e8fe,Restaurant Divellec,Divellec,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/divellec,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_59baf7ce7f,Epicure,Épicure,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/epicure,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5a2faf7397,Restaurant Mirazur,Mirazur,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/menton/restaurant/mirazur,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5a67e55a7a,Hôtel L' Assiette Champenoise,Assiette Champenoise,michelin,https://guide.michelin.com/en/grand-est/reims/restaurant/assiette-champenoise,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5ab33e0684,GLAZ,Glaz,michelin,https://guide.michelin.com/en/bretagne/pont-croix_1568702/restaurant/glaz,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5b1ab313d4,A l'Improviste,À L'Improviste,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/a-l-improviste,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5b5ae98066,Restaurant le Meurice Alain Ducasse,Restaurant Le Meurice Alain Ducasse,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-meurice-alain-ducasse,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5c38471ed5,Restaurant La Maison de Kerdiès,La Maison de Kerdiès,michelin,https://guide.michelin.com/en/bretagne/plougasnou/restaurant/la-maison-de-kerdies,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5cb59144d7,L'Assiette au jardin,L'Assiette au Jardin,michelin,https://guide.michelin.com/en/pays-de-la-loire/noirmoutier-en-lile/restaurant/l-assiette-au-jardin,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5d0a495512,Restaurant La Petite Ourse,La Petite Ourse,michelin,https://guide.michelin.com/en/bretagne/rennes/restaurant/la-petite-ourse,Michelin spelling; Michelin is the only publisher that can vote
