batch_key,source_id,year,rank,category,distinction,source_url,venue_name,city_label,country_label,venue_category,venue_status,price_symbol_raw,note,michelin_guide,name_native_michelin
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/suzhou_1031079/restaurant/wan-tai-xing,Wan Tai Xing,Suzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,万泰兴
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/shanghai-municipality/shanghai/restaurant/wang-lu,Wang Lu (Pudong),Shanghai,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,望庐 (浦东)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/wang-ri-shun-hao,Wang Ri Shun Hao (Shangcheng),Hangzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,王日顺号 (上城)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/taizhou_7770462/restaurant/wei-chen-xiao-chi,Wei Chen Xiao Chi,Taizhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,味晨小吃
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/suzhou_1031079/restaurant/wei-ji-ao-mian-guan-east-baita-road,Wei Ji Ao Mian Guan (East Baita Road),Suzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,伟记奥面馆 (白塔东路)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/nanjing_1029511/restaurant/wu-ming-lao-lu-mian,Wu Ming Lao Lu Mian,Nanjing,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,无名老卤面
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/wu-zi-mian-guan,Wu Zi Mian Guan,Hangzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,伍子面馆
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xiao-bai-cai,Xiao Bai Cai,Hangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,小柏菜
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/wenzhou_1031793/restaurant/xiao-cai-yuan,Xiao Cai Yuan,Wenzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,小菜园
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xiao-dian-huang,Xiao Dian Huang,Hangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,笑典皇
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xiao-lao-hun-tun,Xiao Lao Hun Tun,Hangzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,小劳馄饨
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/nanjing_1029511/restaurant/xiao-pan-ji-ya-xie-fen-si-tang,Xiao Pan Ji Ya Xie Fen Si Tang,Nanjing,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,小潘记鸭血粉丝汤
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xiao-shan-wei-dao,Xiao Shan Wei Dao,Hangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,萧山味道
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/shanghai-municipality/shanghai/restaurant/xiao-tao-mian-guan,Xiao Tao Mian Guan,Shanghai,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,小陶面馆
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xiao-zhu-fan-dian,Xiao Zhu Fan Dian,Hangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,小朱饭店
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/nanjing_1029511/restaurant/xin-fang-yuan,Xin Fang Yuan,Nanjing,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,馨方园食府
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xin-liu-he,Xin Liu He,Hangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,新六和
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xiu-cai-yang-rou-mian,Xiu Cai Yang Rou Mian,Hangzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,秀才羊肉面
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/nanjing_1029511/restaurant/xu-jian-ping-tang-bao-rehe-south-road,Xu Jian Ping Tang Bao (Rehe South Road),Nanjing,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,徐建萍汤包 (热河南路)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/nanjing_1029511/restaurant/san-bai-wan-bao-ying-chang-yu-mian,Xu Pangzi San Bai Wan Bao Ying Chang Yu Mian,Nanjing,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,徐胖子三百碗宝应长鱼面
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/wenzhou_1031793/restaurant/xue-miao-zhu-zang-fen,Xue Miao Zhu Zang Fen,Wenzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,雪苗猪脏粉
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/xun-wei-jiang-nan,Xun Wei Jiang Nan,Hangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,寻味江南
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/suzhou_1031079/restaurant/ya-ba-sheng-jian-wenjia-an,Ya Ba Sheng Jian (Wenjia An),Suzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,哑巴生煎 (温家岸)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/wenzhou_1031793/restaurant/yan-ji-gao-tou-pu,Yan Ji Gao Tou Pu,Wenzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,颜记糕头铺
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/wenzhou_1031793/restaurant/yangjia-shantou-mai-mian-lao-dian-canghe-lane,Yangjia Shantou Mai Mian Lao Dian (Canghe Lane),Wenzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,永嘉山头麦面老店 (沧河巷)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/shanghai-municipality/shanghai/restaurant/yangzhou-fan-dian-huangpu,Yangzhou Fan Dian (Huangpu),Shanghai,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,扬州饭店 (黄浦)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/yangzhou_1032329/restaurant/yangzhou-yan-38-changchun-road,Yangzhou Yan (38 Changchun Road),Yangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,扬州宴 (长春路38号)
